$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.2,0.2,13.0,13.0,0.506,1.0,0.5
0.2,0.2,13.1,13.1,0.506,1.0,0.5
0.2,0.2,13.2,13.2,0.484,1.0,0.5
0.2,0.2,13.3,13.3,0.506,1.0,0.5
0.2,0.2,13.4,13.4,0.53,1.0,0.5
0.2,0.2,13.5,13.5,0.486,1.0,0.5
0.2,0.2,13.6,13.6,0.48,1.0,0.5
0.2,0.2,13.7,13.7,0.522,1.0,0.5
0.2,0.2,13.8,13.8,0.502,1.0,0.5
0.2,0.2,13.9,13.9,0.496,1.0,0.5
0.2,0.2,14.0,14.0,0.512,1.0,0.5
0.2,0.2,14.1,14.1,0.47,1.0,0.5
0.2,0.2,14.2,14.2,0.506,1.0,0.5
0.2,0.2,14.3,14.3,0.5,1.0,0.5
